 timestamp,open,high,low,close,EMA3,EMA9,MACD,timestamp
2025-12-23 12:00:00,21000.0,21100.0,20800.0,21050.0,20980.0,20850.0,328.2,
2025-12-23 12:05:00,21050.0,21150.0,20900.0,21100.0,21000.0,20870.0,330.1,
2025-12-23 12:10:00,21100.0,21200.0,21050.0,21150.0,21050.0,20900.0,332.0,
2026-03-01 01:41:52,66588.0,66628.0,66258.0,66316.0,,,,
2026-03-27 13:08:40,68.793,69.15,65.504,66.072,,,,
,76806.0,77838.0,76465.0,77590.0,,,,2026-05-20 08:34:36
,76806.0,77838.0,76465.0,77590.0,,,,2026-05-20 08:34:38
,76806.0,77838.0,76465.0,77590.0,,,,2026-05-20 08:34:39
,76806.0,77838.0,76465.0,77590.0,,,,2026-05-20 08:34:44
,76806.0,77838.0,76465.0,77590.0,,,,2026-05-20 08:34:45
,76806.0,77838.0,76465.0,77590.0,,,,2026-05-20 08:34:46
,76806.0,77838.0,76465.0,77590.0,,,,2026-05-20 08:34:46
,76806.0,77838.0,76465.0,77590.0,,,,2026-05-20 08:34:46
,76806.0,77838.0,76465.0,77590.0,,,,2026-05-20 08:35:16
,76806.0,77838.0,76465.0,77590.0,,,,2026-05-20 08:35:30
,76.806,77.838,76.465,77.59,,,,2026-05-20 08:36:24
,76.806,77.838,76.465,77.59,,,,2026-05-20 08:37:37
